pair_id,Sp,Sh,lambda_PC1,lambda_PC2,lambda_PC3,lambda_PC4,lambda_PC5,lambda_PC6,lambda_PC7,lambda_PC8,lambda_PC9,lambda_PC10,lambda_PC11,lambda_PC12,lambda_PC13,lambda_PC14,lambda_PC15,lambda_PC16,lambda_PC17,lambda_PC18,lambda_PC19,lambda_PC20,lambda_PC21,lambda_PC22,lambda_PC23,lambda_PC24
p1,57,108,57.04695652173913,57.04695652173911,50.243478260869566,50.24347826086956,36.2348716133307,36.23487161333069,34.909476212756296,34.90947621275623,33.93391304347828,33.933913043478256,2.3423763720550575e-14,1.0942903371165988e-14,5.491478683436534e-15,4.016320531592098e-15,1.8029174821994004e-15,7.347211423988444e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2,58,102,87.32204541876857,87.32204541876851,66.3914438502674,66.39144385026738,65.58288770053474,65.58288770053471,64.53677811064325,64.5367781106432,48.52192513368984,48.52192513368983,3.062684256218466e-14,2.4135962794611534e-14,1.471971251157853e-14,1.0946616651587168e-14,7.376316031439704e-15,3.6636090786011064e-15,2.7923061127367148e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p3,59,96,114.60759985017359,114.60759985017356,90.26068527022257,90.26068527022254,84.3518191451784,84.3518191451784,81.00667072559473,81.00667072559469,57.92440833627695,57.92440833627694,2.6772434483245108e-14,1.628550075079632e-14,1.330323883280481e-14,8.515043170473406e-15,7.483596753186745e-15,4.452607276853468e-15,3.314874145118383e-15,1.015778172345622e-15,0.0,0.0,0.0,0.0,0.0,0.0
p4,60,90,114.04144490997624,114.04144490997622,105.24032536569857,105.24032536569854,101.40082512688434,101.40082512688433,94.44683501302234,94.44683501302228,84.92718831389426,84.92718831389419,1.0025488688201431e-13,6.279516258366243e-14,2.2902980091779488e-14,1.8498168099380165e-14,1.2291254214415209e-14,9.258649310745598e-15,3.558386969121487e-15,3.161603656567869e-15,0.0,0.0,0.0,0.0,0.0,0.0
p5,61,84,121.66342464531091,121.6634246453109,120.073516429205,120.07351642920497,107.30882484161688,107.30882484161678,104.14242003907378,104.14242003907377,94.86071205496566,94.86071205496562,4.9713707443781444e-14,3.463069105087731e-14,2.4784072369767112e-14,1.8744724072127833e-14,1.2795953878173406e-14,8.633604542371876e-15,5.184892501187692e-15,2.1835673924985502e-15,0.0,0.0,0.0,0.0,0.0,0.0
p6,62,78,121.28432049398738,121.28432049398734,116.06003700911525,116.06003700911516,112.09855390309096,112.09855390309095,111.66842574189573,111.66842574189566,110.92786509987191,110.92786509987187,1.5945098020947498e-14,1.2444950908957368e-14,1.0774178241330952e-14,9.44671846767643e-15,4.621368362624489e-15,5.169872986984132e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1,68,42,57.04695652173913,57.04695652173911,50.243478260869566,50.24347826086956,36.2348716133307,36.23487161333069,34.909476212756296,34.90947621275623,33.93391304347828,33.933913043478256,2.3423763720550575e-14,1.0942903371165988e-14,5.491478683436534e-15,4.016320531592098e-15,1.8029174821994004e-15,7.347211423988444e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2,67,48,87.32204541876857,87.32204541876851,66.3914438502674,66.39144385026738,65.58288770053474,65.58288770053471,64.53677811064325,64.5367781106432,48.52192513368984,48.52192513368983,3.062684256218466e-14,2.4135962794611534e-14,1.471971251157853e-14,1.0946616651587168e-14,7.376316031439704e-15,3.6636090786011064e-15,2.7923061127367148e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p4,65,60,114.04144490997624,114.04144490997622,105.24032536569857,105.24032536569854,101.40082512688434,101.40082512688433,94.44683501302234,94.44683501302228,84.92718831389426,84.92718831389419,1.0025488688201431e-13,6.279516258366243e-14,2.2902980091779488e-14,1.8498168099380165e-14,1.2291254214415209e-14,9.258649310745598e-15,3.558386969121487e-15,3.161603656567869e-15,0.0,0.0,0.0,0.0,0.0,0.0
p3,66,54,114.60759985017359,114.60759985017356,90.26068527022257,90.26068527022254,84.3518191451784,84.3518191451784,81.00667072559473,81.00667072559469,57.92440833627695,57.92440833627694,2.6772434483245108e-14,1.628550075079632e-14,1.330323883280481e-14,8.515043170473406e-15,7.483596753186745e-15,4.452607276853468e-15,3.314874145118383e-15,1.015778172345622e-15,0.0,0.0,0.0,0.0,0.0,0.0
p6,63,72,121.28432049398738,121.28432049398734,116.06003700911525,116.06003700911516,112.09855390309096,112.09855390309095,111.66842574189573,111.66842574189566,110.92786509987191,110.92786509987187,1.5945098020947498e-14,1.2444950908957368e-14,1.0774178241330952e-14,9.44671846767643e-15,4.621368362624489e-15,5.169872986984132e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p5,64,66,121.66342464531091,121.6634246453109,120.073516429205,120.07351642920497,107.30882484161688,107.30882484161678,104.14242003907378,104.14242003907377,94.86071205496566,94.86071205496562,4.9713707443781444e-14,3.463069105087731e-14,2.4784072369767112e-14,1.8744724072127833e-14,1.2795953878173406e-14,8.633604542371876e-15,5.184892501187692e-15,2.1835673924985502e-15,0.0,0.0,0.0,0.0,0.0,0.0
